url,coverage_state,bucket,target,fix
https://www.themodernwallet.com/auto-loan/refinance-calculator/,URL is unknown to Google,add internal links,src/data/spokes-auto_loan.ts (vertical spoke data),"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/budget/student-budget-calculator/,URL is unknown to Google,add internal links,src/data/spokes-budget.ts (vertical spoke data),"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/cash-conversion-cycle/,URL is unknown to Google,add internal links,src/data/spokes-cash_conversion_cycle.ts (vertical spoke data),"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/15-year-vs-20-year-vs-30-year-mortgage/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/70-30-vs-60-40-portfolio/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/70-30-vs-80-20-portfolio/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/80-20-vs-90-10-portfolio/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/401k-vs-ira-beneficiary-rules/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
https://www.themodernwallet.com/compare/403b-vs-401k/,URL is unknown to Google,add internal links,src/data/comparisons*.ts,"No forced internal links added (already adequately linked); no code/content change this run, so per Phase 7's anti-spam rule it is NOT resubmitted this run (resubmission is reserved for pages that actually changed) — re-pinging an unchanged URL edges toward spam and IndexNow's own guidance asks against it."
