url,coverage_state,verdict,google_canonical,user_canonical,last_crawl_time
https://www.themodernwallet.com/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/529-savings-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/about/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/amortization-schedule/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/car-affordability-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/early-payoff-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/extra-payment-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/interest-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/auto-loan/payoff-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/budget/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/budget/50-30-20-budget-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/budget/household-budget-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/budget/monthly-budget-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/budget/zero-based-budget-calculator/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/business-line-of-credit/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/calculators/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/15-year-vs-30-year-mortgage/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/401k-vs-brokerage-account/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/401k-vs-roth-ira/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/529-vs-brokerage-account/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/529-vs-coverdell-esa/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/529-vs-roth-ira/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/529-vs-utma/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/brokerage-vs-ira/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/custodial-account-vs-savings-account/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/custodial-roth-ira-vs-529/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/custodial-roth-ira-vs-brokerage-account/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/custodial-roth-ira-vs-traditional-ira/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/custodial-roth-ira-vs-utma/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/debt-snowball-vs-avalanche/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/etf-vs-mutual-fund/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/fixed-vs-arm-mortgage/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/hsa-vs-fsa/,Submitted and indexed,PASS,,,
https://www.themodernwallet.com/compare/hysa-vs-cd/,Submitted and indexed,PASS,,,
