url,coverage_state,bucket,target,fix
https://www.themodernwallet.com/auto-loan/refinance-calculator/,URL is unknown to Google,add internal links,src/pages/[category]/index.astro (auto-loan),"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/business-loan-payoff/,URL is unknown to Google,add internal links,src/pages/calculators/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/coast-fire/,URL is unknown to Google,add internal links,src/pages/calculators/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/15-year-vs-20-year-vs-30-year-mortgage/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/403b-vs-401k/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/457b-vs-401k/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/annuity-vs-cd/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/bilt-rewards-vs-chase-ultimate-rewards/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/business-line-of-credit-vs-sba-loan/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
https://www.themodernwallet.com/compare/cash-out-refinance-vs-heloc/,URL is unknown to Google,add internal links,src/pages/compare/index.astro,"No code change — already linked + already sitemapped. Per Phase 7's re-submit rule, only URLs that changed this run or were newly added to the sitemap this run get re-submitted; this URL did neither, so it is left for natural (re)crawl."
